Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,194,1174,698,0.408,0.204,-6187926
1,195,1169,701,0.752,0.376,-5069705
1,196,1159,708,1.575,0.787,-5069956
1,197,1142,721,2.761,1.380,-4017272
1,198,1113,747,5.024,2.512,-5925008
1,199,1081,766,4.801,2.400,-6514584
1,200,1039,790,6.240,3.120,-5200772
1,201,995,813,6.405,3.202,-7305883
1,202,939,830,7.550,3.775,-6844819
1,203,881,840,7.592,3.796,-5068667
1,204,816,853,8.551,4.276,-7306920
1,205,751,851,8.389,4.194,-7043235
1,206,695,839,7.388,3.694,-5397632
1,207,636,823,7.886,3.943,-4937335
1,208,587,809,6.574,3.287,-5595265
1,209,542,788,6.406,3.203,-4674428
1,210,504,768,5.539,2.770,-6253458
1,211,479,748,4.130,2.065,-5989005
1,212,458,733,3.329,1.665,-6120075
1,213,445,726,1.905,0.952,-7175332
1,214,440,721,0.912,0.456,-8689600
1,215,441,724,0.408,0.204,-7044265
1,216,449,731,1.371,0.686,-7043748
1,217,465,742,2.505,1.252,-7043748
1,218,488,760,3.768,1.884,-7701678
1,219,518,777,4.448,2.224,-5924754
1,220,556,799,5.664,2.832,-5135231
1,221,601,818,6.301,3.151,-6518433
1,222,651,833,6.734,3.367,-5464716
1,223,708,848,7.603,3.802,-7240868
1,224,766,858,7.592,3.796,-6912154
1,225,822,859,7.225,3.613,-8293552
1,226,885,849,8.229,4.114,-6715033
1,227,940,836,7.290,3.645,-6583197
1,228,992,821,6.982,3.491,-8030893
1,229,1032,801,5.769,2.885,-5926294
1,230,1070,784,5.370,2.685,-7043237
1,231,1097,765,4.259,2.129,-6450321
1,232,1119,748,3.587,1.793,-5199740
1,233,1132,738,2.116,1.058,-5004935
1,234,1140,733,1.217,0.608,-6055814
1,235,1139,734,0.182,0.091,-6516113
1,236,1132,738,1.040,0.520,-5464463
1,237,1120,747,1.935,0.968,-4213359
1,238,1098,764,3.587,1.793,-4870775
1,239,1071,782,4.186,2.093,-5595265
1,240,1032,800,5.541,2.770,-5398153
1,241,995,817,5.253,2.626,-5859724
1,242,947,832,6.487,3.244,-5858704
1,243,897,839,6.513,3.256,-4739954
1,244,837,852,7.920,3.960,-6188437
1,245,783,854,6.971,3.485,-6188180
1,246,727,846,7.297,3.649,-6121094
1,247,678,833,6.540,3.270,-5003906
1,248,630,821,6.383,3.191,-6385555
1,249,588,806,5.753,2.877,-7306400
1,250,553,787,5.137,2.569,-6780317
1,251,525,771,4.160,2.080,-6582938
1,252,506,760,2.832,1.416,-8096177
1,253,491,749,2.400,1.200,-8226985
1,254,483,742,1.371,0.686,-6846367
1,255,486,743,0.408,0.204,-7438508
1,256,493,749,1.189,0.595,-8490935
1,257,506,759,2.116,1.058,-7570608
1,258,527,768,2.947,1.474,-5596304
1,259,555,786,4.294,2.147,-6584224
1,260,588,800,4.624,2.312,-4740734
1,261,628,819,5.713,2.856,-6451609
1,262,678,834,6.734,3.367,-7307947
1,263,727,847,6.540,3.270,-7635365
1,264,779,855,6.787,3.393,-9807054
1,265,836,856,7.354,3.677,-10004170
1,266,889,847,6.935,3.467,-5857168
1,267,943,837,7.084,3.542,-6188178
1,268,994,822,6.858,3.429,-6188176
1,269,1032,810,5.141,2.570,-8293295
1,270,1064,793,4.674,2.337,-7437986
1,271,1096,776,4.674,2.337,-5727625
1,272,1111,764,2.478,1.239,-5792390
1,273,1128,754,2.544,1.272,-5859472
1,274,1135,750,1.040,0.520,-6186635
1,275,1133,751,0.288,0.144,-4937082
1,276,1128,756,0.912,0.456,-6385820
1,277,1117,762,1.616,0.808,-5792404
1,278,1097,776,3.149,1.575,-5069447
1,279,1072,791,3.761,1.880,-6253971
1,280,1040,805,4.506,2.253,-5662347
1,281,1005,819,4.863,2.431,-5925267
1,282,959,830,6.101,3.051,-5922698
1,283,912,841,6.227,3.113,-5201023
1,284,860,847,6.753,3.376,-5201024
1,285,812,847,6.192,3.096,-5397633
1,286,763,843,6.342,3.171,-6582676
1,287,714,831,6.508,3.254,-5331576
1,288,669,821,5.947,2.973,-5135230
1,289,632,806,5.150,2.575,-4674679
1,290,600,798,4.255,2.128,-7832743
1,291,579,779,3.653,1.827,-7765416
1,292,558,770,2.947,1.474,-7964850
1,293,544,761,2.147,1.073,-8424364
1,294,538,754,1.189,0.595,-4477560
1,295,538,754,0.000,0.000,-5135490
1,296,545,763,1.471,0.735,-6647438
1,297,558,770,1.905,0.952,-5333128
1,298,576,783,2.864,1.432,-8620460
1,299,601,796,3.635,1.817,-8029344
1,300,634,810,4.624,2.312,-7502745
1,301,674,822,5.387,2.694,-5859205
1,302,715,834,5.511,2.755,-5727880
1,303,762,846,6.257,3.129,-8225951
1,304,810,852,6.240,3.120,-8227759
1,305,857,854,6.068,3.034,-9017279
1,306,909,846,6.787,3.393,-6647438
1,307,955,836,6.073,3.036,-4872316
1,308,998,822,5.834,2.917,-3226717
1,309,1035,813,4.912,2.456,-5857922
1,310,1064,800,4.100,2.050,-5464455
1,311,1095,784,4.500,2.250,-2701147
1,312,1109,775,2.147,1.073,-3621992
1,313,1126,766,2.481,1.241,-3621221
1,314,1130,762,0.730,0.365,-4015980
1,315,1130,763,0.129,0.065,-5397632
1,316,1121,768,1.328,0.664,-5005185
1,317,1110,773,1.559,0.779,-5004415
1,318,1093,784,2.612,1.306,-6715032
1,319,1063,799,4.327,2.163,-5858184
1,320,1033,812,4.218,2.109,-7503778
1,321,1001,821,4.288,2.144,-6385810
1,322,957,831,5.821,2.910,-4279405
1,323,915,842,5.601,2.800,-7832741
1,324,865,848,6.496,3.248,-7964587
1,325,820,848,5.805,2.902,-8886718
1,326,773,846,6.068,3.034,-8359085
1,327,731,834,5.635,2.817,-5727886
1,328,688,821,5.795,2.897,-3029852
1,329,657,814,4.100,2.050,-8489640
1,330,626,803,4.243,2.122,-8951995
1,331,602,794,3.307,1.653,-8359600
1,332,584,784,2.656,1.328,-7834284
1,333,571,778,1.847,0.923,-8162221
1,334,568,775,0.547,0.274,-7965869
1,335,570,777,0.365,0.182,-6780566
1,336,577,782,1.110,0.555,-7437467
1,337,594,794,2.684,1.342,-10004172
1,338,610,798,2.128,1.064,-6647436
1,339,635,810,3.577,1.789,-5859466
1,340,664,818,3.881,1.940,-6057103
1,341,699,825,4.604,2.302,-3751778
1,342,740,836,5.476,2.738,-4608886
1,343,786,847,6.101,3.051,-5266298
1,344,834,853,6.240,3.120,-8360111
1,345,878,854,5.677,2.839,-9675466
1,346,923,842,6.008,3.004,-4608108
1,347,962,834,5.136,2.568,-4346227
1,348,1002,825,5.289,2.644,-4608368
1,349,1035,811,4.624,2.312,-3949406
1,350,1060,800,3.523,1.762,-3819879
1,351,1082,791,3.066,1.533,-4279921
1,352,1099,783,2.424,1.212,-4739199
1,353,1108,776,1.471,0.735,-3424610
1,354,1116,772,1.154,0.577,-3293284
1,355,1113,774,0.465,0.233,-4214641
1,356,1105,779,1.217,0.608,-4871540
1,357,1092,786,1.905,0.952,-4544633
1,358,1069,796,3.235,1.618,-5463164
1,359,1046,807,3.289,1.644,-5727627
1,360,1018,819,3.930,1.965,-5860244
1,361,984,826,4.478,2.239,-4738938
1,362,945,833,5.111,2.556,-4872571
1,363,901,841,5.769,2.885,-5134712
1,364,857,848,5.747,2.874,-6451100
1,365,814,847,5.548,2.774,-6120853
1,366,771,844,5.560,2.780,-6976918
1,367,732,830,5.345,2.673,-4146528
1,368,695,821,4.912,2.456,-2569301
1,369,661,816,4.433,2.217,-7964587
1,370,640,809,2.856,1.428,-7437985
1,371,617,798,3.289,1.644,-8950193
1,372,602,786,2.478,1.239,-4411767
1,373,593,785,1.168,0.584,-8030641
1,374,592,783,0.288,0.144,-8029091
1,375,596,788,0.826,0.413,-9675466
1,376,606,793,1.442,0.721,-9806791
1,377,617,799,1.616,0.808,-9740224
1,378,640,807,3.141,1.571,-8030635
1,379,660,817,2.885,1.442,-8031920
1,380,692,825,4.255,2.128,-5200503
1,381,729,836,4.979,2.490,-5596551
1,382,768,843,5.111,2.556,-7371672
1,383,810,848,5.456,2.728,-7833003
1,384,853,852,5.571,2.785,-8754615
1,385,895,846,5.473,2.737,-4805236
1,386,938,840,5.601,2.800,-5661572
1,387,978,830,5.319,2.659,-3752029
1,388,1012,821,4.537,2.269,-4279919
1,389,1038,813,3.509,1.755,-5726084
1,390,1059,806,2.856,1.428,-6056851
1,391,1080,796,3.000,1.500,-6450067
1,392,1093,789,1.905,0.952,-5201285
1,393,1099,784,1.008,0.504,-4937859
1,394,1103,784,0.516,0.258,-6253460
1,395,1099,785,0.532,0.266,-4938372
1,396,1087,790,1.677,0.839,-5727114
