Frame,X Velocity(cm/s),Y Velocity(cm/s),Total Velocity(cm/s),Predicted Velocity(cm/s)
2,-29.439049736638676,-21.08215819849611,-36.209322607620024,-45.03288523137002
3,-53.18021887908922,-46.9125502254822,-70.91490004707211,-66.47438411502823
4,-69.89400195537418,-52.80036017281003,-87.59594479036295,-86.57490235864313
5,-84.51856214712402,-47.86219699118031,-97.12969292775415,-104.82573853626661
6,-97.62368751375674,-55.64930046990406,-112.37094378251564,-120.73753612552777
7,-113.95761188376261,-46.72262087234268,-123.16387703962125,-133.8403153548911
8,-130.86132431318734,-29.05919103035963,-134.04895667009174,-143.6899836174166
9,-140.5477213233073,-27.7296855583821,-143.25710254762515,-149.93865949138618
10,-151.18376509912522,-15.004418898028808,-151.92650662743154,-152.31121021028568
11,-137.31892231993385,18.043288548262343,-138.4992660224013,-150.69068239307424
12,-131.24118301946663,34.187283565128965,-135.62086298911268,-145.1388841844852
13,-124.40372630644094,33.61749550570991,-128.86591140796037,-135.8963852550258
14,-106.55036711131801,39.69523480617734,-113.70440799667439,-123.35777095049532
15,-96.29418204177946,48.05212634431998,-107.61773246684699,-107.92886710907092
16,-71.22350742735162,46.342762166063295,-84.97316997402368,-90.06465256536443
17,-51.47085470083268,41.40459898443358,-66.05747270896751,-70.24588437266708
18,-39.50530545303762,24.500886555009043,-46.48615493799446,-48.97389894128335
19,-20.132511432798086,13.6749134260516,-24.337651361660846,-26.770507075778678
20,-4.368375122210993,2.6590109439544363,-5.114004341846159,-4.095380813684084
21,9.876326363259405,-12.15547860093469,15.661975687996513,18.665602658207707
22,27.34982685210311,-19.942582079658457,33.848480155598345,41.08435530957537
23,44.633397987807115,-33.99735421198926,56.10668685061923,62.71292362378364
24,60.207604945254616,-40.2650228655961,72.4308481215761,83.08348859788333
25,77.49117608095851,-44.82332734094656,89.52102012557589,101.70836574261158
26,95.15460592294174,-48.431985050599,106.77104572069989,118.08641014343186
27,108.25973128957446,-38.17579998106045,114.79355871774689,131.774486222932
28,122.69436212818451,-34.37721291826836,127.41938340013279,142.25930964107405
