Frame,Total Acceleration (cm/s^2),Predicted Acceleration (cm/s^2)
4,-333.63904782199126,-577.2537165398369
5,-364.6013242372589,-514.9491805575802
6,-404.2449063968105,-437.62664315685095
7,-318.0008239867031,-346.0842198733915
8,-302.7462498282213,-242.27231057068684
9,-318.97088208220794,-129.227342950201
10,99.01148759930307,-11.081024849462358
11,289.9152621428644,107.51078778818946
12,97.03833182417992,221.86585060242504
13,360.8518933134303,327.7177492579015
14,298.11849893686576,421.6635485929377
15,417.2875367837262,501.6960378602807
16,662.6575492160292,566.8012342209842
17,561.1150108282037,616.8940063903268
18,634.268006799932,652.4899261041049
19,622.6726692114564,674.3411488991533
20,598.7023908418608,683.1656517548437
21,577.7011920000082,679.1837877277347
22,614.5665114034415,662.1508979321393
23,586.5553880831196,631.5151262436341
24,485.6123634322641,586.5808030542867
25,539.6779254014735,526.7927291623281
26,367.70087238007375,452.0849593152554
27,296.16511923695776,363.01961886229634
28,370.07419948790357,261.27404045208175
29,-14.527258673966063,149.67773597007564
30,-8.016291868355033,32.07119035552132
31,217.55058578261756,-86.95253133738561
32,-167.8254682475727,-202.4592249701171
33,-439.99036468200836,-309.9875633178213
34,-428.8966593597483,-406.2103418724138
35,-403.1041313367547,-488.7462001175968
36,-414.4760301717395,-556.4242626135338
37,-513.8820852023321,-609.0522055886208
38,-624.0541348060807,-647.0767666699007
39,-626.7477219796655,-671.277542847672
40,-625.9743707335514,-682.3228979665143
41,-488.24112275370436,-680.4526275536498
42,-558.4762880472182,-665.5580795034839
43,-693.3864913629724,-637.1967721639552
44,-578.6714084283764,-594.7428029144859
45,-394.0698771152258,-537.637768378026
46,-211.99759833363427,-465.5593400094929
47,-267.60428775854865,-378.9332711736105
48,-421.2025484216555,-279.20385319354483
49,-316.31302542322976,-168.9845298686883
50,85.83923486282464,-52.04879722440453
51,161.6258649383533,66.91062704968249
52,171.8913470245365,183.1648193661083
53,228.84287879977975,292.240679393704
54,250.60121326383762,390.4757394141569
55,359.0965137460228,475.370012508281
56,555.5088761186324,545.5751656204766
57,597.7945290962367,600.7024455244886
58,327.7115171962285,641.1307215183793
59,549.8494981603498,667.6368559619782
60,819.56146908659,680.8007158013958
61,562.7440121247118,680.9874860553631
62,389.39184037311185,668.2157239399893
63,544.0986802782402,642.1574971985627
64,548.6981514381608,602.23526796854
65,348.3188602562647,547.7215630177508
66,518.0074656023365,478.19917110903873
67,468.074524465621,393.9392589497724
68,13.202261379842213,296.2293592918136
69,111.7720179708624,187.59082071466148
70,184.48072808841712,71.70961388541568
71,-67.10171528325739,-47.05248153156932
72,33.42290318843336,-163.87577128173953
73,-238.96900567846865,-274.26042198238713
74,-741.51184917513,-374.44654149324344
75,-266.5699017037563,-461.6604171800817
76,-262.32499245320463,-534.3095140939821
77,-715.2408188517979,-592.0019741604441
78,-380.78589653281665,-634.9283815652436
79,-573.0102460328247,-663.7014066072614
80,-743.2500518971949,-679.0173132511896
81,-331.41937816501553,-681.3930701858948
82,-446.0048759897554,-671.0141751723222
83,-674.9678632557997,-647.4880916810251
84,-468.11025149537704,-610.0881455115949
85,-261.5733384365555,-558.0707784997747
86,-353.36080603157444,-490.9938438207716
87,-451.9767730617854,-409.0899541742787
88,-290.73990000127793,-313.6061800776297
89,-63.87277508925388,-206.74801250799962
90,125.22388964156167,-91.930289715133
91,2.6073127832316425,26.561142117693212
92,-77.14473496966063,144.04259609474855
93,255.40672363388205,255.8751091751247
94,452.9671426919045,357.9722862575068
95,484.83159114390793,447.5121015627257
96,367.89304944636365,522.7218611442455
97,299.8041233454165,582.9228656773239
98,424.2275917357852,628.2706444251534
99,500.7657790021853,659.3933821853349
100,696.4444668599526,677.0914405082683
101,646.1408389749879,681.8443422337718
102,373.83440660842945,673.6919934491102
103,401.7155203934472,652.3282811055111
104,478.00446914621233,617.1766865294745
105,509.8760892634781,567.5998126189745
106,347.904326163209,503.19730178687365
107,195.96212181692022,423.9668611843254
108,259.72909338080683,330.82462352285677
109,29.89018313617077,225.7877227682408
110,19.721397545970433,112.01059738319503
111,161.41232933752576,-6.331287470598492
112,-141.38571318381742,-124.35801438292707
113,-297.75420549434926,-237.3895386338652
114,-468.2110871146189,-341.37565573383745
115,-230.73601723278708,-433.1656097206417
116,-232.15104823956207,-510.829224027819
117,-648.4607605645768,-573.5440715395034
118,-396.1863643099881,-621.3286384600651
119,-520.0517320938355,-654.7801752974569
120,-694.0551310561555,-674.6715507467645
121,-455.0862339423889,-681.4653296468063
122,-257.56338758360357,-675.3350687415713
123,-579.9051548239088,-656.0951755385125
124,-751.0081339973257,-623.2647329641238
125,-55.5977416419247,-576.2323623655757
126,-138.44431128996104,-514.3919600040665
127,-511.30539587709336,-437.63280213193275
128,-260.1896964626676,-346.6844153102186
129,-115.91041030198761,-243.38593306318393
130,53.88623146326093,-130.81531484580296
131,123.01343562543309,-13.128330871613503
132,-21.03176801397821,105.09955301459014
133,228.73150978849387,219.0898561264852
134,525.9227247681736,324.6498644425188
135,261.50056790924083,418.53916666610746
136,285.33565427345945,498.6085883804514
137,414.66323519228763,563.7446830443732
138,459.26867093549436,613.9149052975159
139,631.1111162894975,649.6979995980205
140,469.06955019166116,671.7154414467543
141,578.8049269454868,680.5339044214674
142,471.6317228138175,676.45176098421
143,129.54298827579603,659.4140296344566
144,401.0151064578524,628.9973675480857
145,385.7695277894835,584.445193820576
146,311.27862471481257,525.08698475535
147,474.2593407990404,450.7148037462741
148,352.91168538930947,361.9470069569941
149,6.462181442814536,260.53411393007116
150,-147.0329585715331,149.4208220667493
151,-83.11082955407625,32.42368497631578
152,-176.20754111571296,-85.837504919401
153,-119.94533187810961,-200.6779354075038
154,-298.4418547923066,-307.8136623083035
155,-523.8696385183299,-403.7202885523926
156,-312.20248673777695,-486.0187380950513
157,-356.15462783299523,-553.6300551838198
158,-377.1195937938495,-606.2775331392214
159,-373.89746266109637,-644.3512273692293
160,-654.313752722998,-668.5458468923621
161,-495.47268024562726,-679.5452981876382
162,-437.5667706540911,-677.7972172618823
163,-520.248986741645,-663.1464196575599
164,-219.67829793907904,-635.0555758034589
165,-210.03063968051242,-592.8156787720515
166,-333.2906771556146,-535.8032026804364
167,-362.5062990478419,-463.82642366896897
168,-305.48432266361806,-377.47107449112974
169,-11.199938251537919,-278.1533118876141
170,87.35598318551179,-168.54267087368194
171,36.22725569354737,-52.3271982955863
172,111.75351533060811,66.09190340845188
173,146.61927049468028,181.98269777835557
174,458.0806415331948,290.73400641017747
175,523.3629861352082,388.627500275403
176,56.89779578688259,473.3070496649663
177,316.5935953339048,543.3601415482773
178,691.6223498858983,598.4135260647294
179,535.6125660999479,638.808328323666
180,505.4644868476103,665.2375412475799
181,281.55762395126624,678.4658003173652
182,311.52192271726767,678.8336020577693
183,450.65088962870595,666.2483687446522
184,229.20243139862004,640.2887900525697
185,483.37248493410084,600.3249832309241
186,467.35763641103796,545.7651121973331
187,105.71654481441891,476.3623891146119
188,141.0818751025596,392.3803015951538
189,47.561007587553874,295.11756817047035
190,-9.923608496008326,186.9852166523592
191,40.68545398424063,71.48464873282822
192,-137.7306893716958,-46.97880990158058
193,-425.80829365380873,-163.4717132842427
