Frame,Total Acceleration (cm/s^2),Predicted Acceleration (cm/s^2),Error(cm/s^2)
4.0,-333.63904782199126,-577.2537165398369,243.61466871784563
5.0,-364.6013242372589,-514.9491805575802,150.34785632032134
6.0,-404.2449063968105,-437.62664315685095,33.38173676004044
7.0,-318.0008239867031,-346.0842198733915,28.08339588668838
8.0,-302.7462498282213,-242.27231057068684,60.47393925753448
9.0,-318.97088208220794,-129.227342950201,189.74353913200693
10.0,99.01148759930307,-11.081024849462358,110.09251244876542
11.0,289.9152621428644,107.51078778818946,182.4044743546749
12.0,97.03833182417992,221.86585060242504,124.82751877824512
13.0,360.8518933134303,327.7177492579015,33.13414405552879
14.0,298.11849893686576,421.6635485929377,123.54504965607191
15.0,417.2875367837262,501.6960378602807,84.4085010765545
16.0,662.6575492160292,566.8012342209842,95.85631499504507
17.0,561.1150108282037,616.8940063903268,55.7789955621231
18.0,634.268006799932,652.4899261041049,18.221919304172957
19.0,622.6726692114564,674.3411488991533,51.668479687696845
20.0,598.7023908418608,683.1656517548437,84.46326091298283
21.0,577.7011920000082,679.1837877277347,101.48259572772656
22.0,614.5665114034415,662.1508979321393,47.58438652869779
23.0,586.5553880831196,631.5151262436341,44.95973816051446
24.0,485.6123634322641,586.5808030542867,100.96843962202257
25.0,539.6779254014735,526.7927291623281,12.885196239145444
26.0,367.70087238007375,452.0849593152554,84.38408693518164
27.0,296.16511923695776,363.01961886229634,66.85449962533858
28.0,370.07419948790357,261.27404045208175,108.80015903582182
29.0,-14.527258673966063,149.67773597007564,164.2049946440417
30.0,-8.016291868355033,32.07119035552132,40.08748222387635
31.0,217.55058578261756,-86.95253133738561,304.50311712000314
32.0,-167.8254682475727,-202.4592249701171,34.633756722544405
33.0,-439.99036468200836,-309.9875633178213,130.00280136418706
34.0,-428.8966593597483,-406.2103418724138,22.68631748733452
35.0,-403.1041313367547,-488.7462001175968,85.64206878084212
36.0,-414.4760301717395,-556.4242626135338,141.94823244179423
37.0,-513.8820852023321,-609.0522055886208,95.17012038628877
38.0,-624.0541348060807,-647.0767666699007,23.02263186382004
39.0,-626.7477219796655,-671.277542847672,44.52982086800648
40.0,-625.9743707335514,-682.3228979665143,56.348527232962965
